user_id,perfil,libros_año,pref_thriller,pref_science_fiction,pref_romance,pref_mystery,pref_fantasy,pref_horror,pref_adventure,pref_crime,pref_detective,pref_suspense,pref_young_adult,pref_historical_fiction,pref_contemporary,pref_biography,pref_history,pref_self_help,pref_psychology,pref_philosophy,pref_business,pref_science,pref_memoir,pref_true_crime
U_0000,moderado,11,0.0015261985233198244,0.01524708319591897,0.024609006604113155,0.0428952302526721,0.014682489796860407,0.006640539113894732,0.003682434036307758,0.1311250713629193,0.025039647675065013,0.0404329743865339,0.11686990236985856,0.004012923575486972,0.0972328044423714,0.0372629993843877,0.008368634515512821,0.024612825539439505,0.06984295262374947,0.03041458481034059,0.19601339028868517,0.021965877498409395,0.06432911091295228,0.02319331909120097
U_0001,ocasional,3,0.04158577404093892,0.041678701863280106,0.031067470776532387,0.03240192975445833,0.09116144958165356,0.042702983589061834,0.02627662065496703,0.009148330646258314,0.04989987781538649,0.016445035023003637,0.02647996101338746,0.036935929943731495,0.09295065823958051,0.06850249337966657,0.0383776966540562,0.08978869262531537,0.06245063629714738,0.005724792402248742,0.08756150242515146,0.03935638406282331,0.0028721221980065595,0.06663095701334426
U_0002,ocasional,4,0.052686161359023875,0.05772834030638843,0.06288467343689456,0.00920262155809005,0.09292124439520924,0.05870718236247817,0.004208928318242706,0.11702620337470973,0.020322752008722113,0.08192560476430592,0.034140852808107205,0.011179823537652407,0.05947889521976221,0.0341256207423227,0.0388025554239181,0.07172810746860613,0.032702451121526636,0.02429697664208026,0.03307403519852716,0.01315327618926618,0.04254854931028283,0.04715514445388326
U_0003,moderado,13,0.05060042931152907,0.07353411650093854,0.03514913101656189,0.04741079149084145,0.10508783644584084,0.0028537713354183755,0.022215707895099322,0.09541028672060252,0.1722487013475468,0.054732729345318296,0.057997117904278674,0.008656188991686424,0.04529198493364525,0.0580793794934112,0.021204419580782986,0.023951964199334107,0.03616871219038873,0.00154821173416533,0.029682738775833134,0.018139674050394218,0.03029548136432982,0.00974062537205306
U_0004,frecuente,37,0.0087013508681521,0.009330298435983183,0.01701804226542255,0.04986010884428795,0.026196548691965145,0.010615509279562048,0.12561606748377854,0.004417937503365219,0.008074735285814183,4.200265670831951e-06,0.009876841878233822,0.09029989482920059,0.07005406214522927,0.0858254566920858,2.4623596746382605e-05,0.02510032092543493,2.078435024780704e-06,0.01781977107802252,0.07596173938781198,0.02128332594685699,0.08397177678009374,0.2599453093812573
U_0005,frecuente,40,0.06056473758316551,0.003098996517183413,0.019576873766369164,0.005599426591736917,0.026625513959204754,0.0009438310852849375,0.024418807226053323,0.015237517643091234,0.17683049926969285,0.052259165791227656,0.028601029865056166,0.2547721994020295,0.0036306266571562947,0.0010390902561214547,0.0792268905533805,0.004590938091644387,0.00955338966564359,0.006340931069228564,0.1153230760285069,0.030257803552254634,0.03619233266486431,0.04531632276110391
U_0006,frecuente,58,0.02992105156841424,0.03483119086952656,0.015641534245983146,0.00045295305445416467,0.030291846063569352,0.011304811969238101,0.05665349137489392,0.14890251695456388,0.07027195943926468,0.06006964132705093,0.002090762135816459,0.062001016482656074,0.0747710050451765,0.029527555609072036,0.021315146677166073,0.02574961843238054,0.02414163676743079,0.08127329226186288,0.0379303323145839,0.06259300243667756,0.1082916647160224,0.011973970254196
U_0007,ocasional,2,0.051390796192178824,0.06164333410907061,0.01784948927358852,0.054355423111325005,0.08370179824324368,0.025207420609714957,0.07057003213266949,0.1405609846529398,0.032697796239357244,0.020631004487536134,0.045282956290066866,0.052187288618619196,0.10547359331261237,0.04412484958185751,0.03522085402078981,0.020151800297374924,0.009392353460941062,0.014832007452717538,0.01474401980991699,0.04060323424671268,0.011454409023286686,0.047924554833479946
U_0008,moderado,20,0.01750331567193385,0.013381409266575424,0.012871934368593735,0.03897108467654379,0.19975111692416356,0.033068672629728846,0.04386480634277792,0.106079613190583,0.0412267412231218,0.01097640576035615,0.01916878242380866,0.019969474627549486,0.027257720366760958,0.0299565167315204,0.08657756685625115,0.02313834537239829,0.033996273283657986,0.052794689901227966,0.02553563669543066,0.09750454760372379,0.04766152608818246,0.018743819995109885
U_0009,ocasional,3,0.1188635624942238,0.0014586960797999652,0.015980855274344355,0.055287287438985956,0.042113346786401565,0.06954778500221448,0.03532080046994087,0.04489702435450869,0.044205393721112256,0.04851638143271383,0.05112609642859982,0.04277965801004362,0.03566017509348906,0.039478047989465526,0.05655609546741763,0.057307171746475136,0.027136299050241754,0.02064461010837145,0.008727060917889978,0.1462186560945066,0.014869796959186726,0.023305199080066938
